SubId,HyLakeId,HRU_IsLake,Soil_ID,Veg_ID,O_ID_1,O_ID_2,Landuse_ID,HRU_Area,HRU_ID,LAND_USE_C,VEG_C,SOIL_PROF,HRU_CenX,HRU_CenY,DowSubId,RivSlope,RivLength,BasSlope,BasAspect,BasArea,BkfWidth,BkfDepth,Lake_Cat,LakeVol,LakeDepth,LakeArea,Laketype,Has_Gauge,MeanElev,FloodP_n,Q_Mean,Ch_n,DrainArea,Strahler,Seg_ID,Seg_order,Max_DEM,Min_DEM,DA_Obs,DA_error,Obs_NM,SRC_obs,centroid_x,centroid_y,HRU_S_mean,HRU_A_mean,HRU_E_mean
202,,-1,1,1,1,1,1,1179636,1,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.54511486,45.79468163,220,0.000429443,0,3.513805729,217.1786594,1286318.877,2.079474458,0.128155255,2,0.43,4.1,110000,1,0,450.6634875,0.078181819,0.083414622,0.025,1286318.877,1,11,1,399.3837891,397.7198792,0,0,,,1430484.642,12152271.29,3.514,217.179,450.663
41,1035335,1,-1,-1,-1,-1,-1,524422,2,LAKE,LAKE,LAKE,-78.8205806,45.71646613,42,0.000550953,0,5.386847772,190.6158822,2547874.522,2.895875576,0.156326356,2,3.2,6.1,520000,1,0,446.2421062,0.105714288,0.161768815,0.030099002,2547874.522,1,2,7,417.4814453,414.6561584,0,0,,,1409729.346,12141779.25,5.387,190.616,446.242
315,108435,1,-1,-1,-1,-1,-1,1213664,3,LAKE,LAKE,LAKE,-78.16898092,45.80360115,322,0.000955727,0,4.55101117,191.7348189,8514336.62,5.453438794,0.228542268,2,9.24,7.6,1210000,1,0,411.3396903,0.100000002,0.573688169,0.025,9408023.704,1,22,1,373.9056396,371.6539612,0,0,,,1459619.784,12156591.7,4.551,191.735,411.34
142,1034038,1,-1,-1,-1,-1,-1,689446,4,LAKE,LAKE,LAKE,-78.8227734,45.85296728,141,0.000991834,0,5.201014246,192.7779983,12022102.75,6.890792851,0.262981854,2,4.56,6.6,690000,1,0,440.8572337,0.10059524,0.915953436,0.036376172,15246788.34,1,8,1,417.4217224,411.1405945,0,0,,,1408405.099,12155811.34,5.201,192.778,440.857
277,1033025,1,-1,-1,-1,-1,-1,480870,5,LAKE,LAKE,LAKE,-78.58472212,45.94672317,276,0.000557899,0,3.619174517,204.7785174,2433434.292,2.832104076,0.154251641,2,2.51,5.2,480000,1,0,415.7211241,0.112211984,0.154722483,0.049273296,2433434.292,3,92,1,387.7391052,383.518158,0,0,,,1426257.679,12169201.26,3.619,204.779,415.721
747,1032273,1,-1,-1,-1,-1,-1,226836,6,LAKE,LAKE,LAKE,-77.62129508,46.01210046,743,0.002387915,0,4.963150886,184.223962,801002.5003,1.653012522,0.111668312,2,1.02,4.5,230000,1,0,223.6941927,0.106302523,0.052709306,0.035569645,801002.5003,1,54,1,219.0121155,187.1872711,0,0,,,1499753.929,12182846.87,4.963,184.224,223.694
803,1032168,1,-1,-1,-1,-1,-1,144589,7,LAKE,LAKE,LAKE,-77.72290059,46.01944928,801,0.003496026,0,6.607974889,184.8673896,1578546.981,3.206210473,0.166172626,2,0.73,5.1,140000,1,0,252.4002861,0.106493509,0.198298333,0.045661838,3143570.707,4,172,6,166.3257751,156.3307953,0,0,,,1492059.113,12182943.24,6.608,184.867,252.4
542,,-1,1,1,1,1,1,3233876,8,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.84209105,45.85252436,551,0.003934519,0,5.740159196,186.2080044,3456745.77,13.30850471,0.390338891,1,1.13,5.1,220000,1,0,294.0372452,0.124390248,3.416595248,0.04563663,59311333.71,1,42,4,249.640564,243.4468536,0,0,,,1484275.444,12163588.02,5.74,186.208,294.037
327,1033541,1,-1,-1,-1,-1,-1,160646,9,LAKE,LAKE,LAKE,-78.20909433,45.8980129,326,0.001974139,0,5.379887799,183.8457471,2975840.329,3.122146914,0.163544622,2,0.82,5.2,160000,1,0,410.2480175,0.100000001,0.188036291,0.033399213,2975840.329,3,101,1,375.3009644,369.0748596,0,0,,,1454758.981,12166367.52,5.38,183.846,410.248
36,1034546,1,-1,-1,-1,-1,-1,354779,10,LAKE,LAKE,LAKE,-79.05476079,45.80008839,34,0.001758466,0,5.858704939,208.8457534,4609183.158,5.719080346,0.235158123,2,1.66,4.7,350000,1,0,468.9181323,0.111438682,0.630939043,0.030469495,10378338.8,1,1,1,446.1976624,417.531189,0,0,,,1391447.068,12150280.57,5.859,208.846,468.918
688,,-1,1,1,1,1,1,1740512,11,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.76327235,45.83794884,753,0.01506957,456.323722,7.240658749,198.1358304,1740511.663,21.3003186,0.517601976,0,0,0,0,0,0,314.6167123,0.100000001,8.751997925,0.091052375,156561107.8,2,149,3,228.2523499,221.3757477,0,0,,,1490504.891,12162544.03,7.241,198.136,314.617
450,,-1,1,1,1,1,1,4724467,12,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.61312503,46.0605206,455,0.002533848,0,8.130789937,177.5453234,5348307.833,16.78915568,0.448726357,1,4.33,7,620000,1,0,367.4799147,0.100000001,5.437417984,0.036991424,95802034.75,2,118,3,313.262207,307.8948364,0,0,,,1422779.397,12181269.93,8.131,177.545,367.48
720,,-1,1,1,1,1,1,2589010,13,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.73202623,45.86813138,719,0.000569744,0,3.470177568,207.3450444,3011758.354,3.140349902,0.164116063,2,2.12,5,420000,1,0,240.6068489,0.106677021,0.190235291,0.025,3011758.354,2,161,1,222.1562958,215.5595703,0,0,,,1492542.68,12166009.45,3.47,207.345,240.607
460,,-1,1,1,1,1,1,14757599,14,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.4621004,46.08521581,468,0.001719858,0,4.898572055,183.1597786,15380884.22,8.819181381,0.304944799,1,2.97,4.8,620000,1,0,386.1495337,0.100000001,1.500346455,0.029565978,25370777.23,1,36,1,319.719574,319.719574,0,0,,,1434128.657,12184943.66,4.899,183.16,386.15
402,,-1,1,1,1,1,1,3901871,15,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.31620354,45.94141541,400,0.007423703,0,3.468213464,171.8340003,4154383.368,5.138025807,0.220516979,2,0.93,3.7,250000,1,0,401.8461621,0.100000001,0.509245933,0.064317152,8319537.6,2,108,1,346.5387268,291.9038391,0,0,,,1446771.696,12170070.06,3.468,171.834,401.846
657,,-1,1,1,1,1,1,1592672,16,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.75969729,45.83161987,656,0.002298881,0,6.833527634,237.9885024,1726045.485,2.39790153,0.139592818,2,0.58,4.3,130000,1,0,302.0132426,0.100000001,0.110916893,0.03483336,1726045.485,1,49,2,250.0592957,229.7917328,0,0,,,1490822.777,12161814.19,6.834,237.989,302.013
519,,-1,1,1,1,1,1,6616557,17,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.45237262,45.95497348,528,0.001055224,0,6.903044503,169.106265,7018656.331,4.731677919,0.209881119,2,2.33,5.8,400000,1,0,413.233375,0.065714287,0.431882252,0.025,7018656.331,1,38,1,307.5001221,306.2543335,0,0,,,1436220.859,12170679.45,6.903,169.106,413.233
464,,-1,1,1,1,1,1,781006,18,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.45003362,46.05857768,463,0.001719858,0,5.584255954,200.6711309,924796.4326,1.772219503,0.116432648,2,0.55,3.9,140000,1,0,409.4667222,0.100000001,0.060585686,0.029565978,924796.4326,1,36,1,319.719574,319.719574,0,0,,,1435277.314,12182070.5,5.584,200.671,409.467
548,,-1,1,1,1,1,1,2735654,19,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.92365238,45.81245893,547,0.007663651,0,2.824588537,185.2033063,2970823.175,3.119595262,0.163464412,2,0.92,3.9,230000,1,0,326.8834563,0.100000001,0.187729062,0.06294446,2970823.175,1,42,1,294.216156,255.1940308,0,0,,,1478431.299,12158575.05,2.825,185.203,326.883
652,,-1,1,1,1,1,1,2842521,20,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.73570622,45.76157433,655,0.015159724,0,3.031254647,192.3416368,4003125.353,3.604601742,0.178270154,2,8,6.9,1160000,1,0,297.6243469,0.100000001,0.250639539,0.087222008,4003125.353,1,49,1,250.2394257,246.3139496,0,0,,,1493488.157,12154245.41,3.031,192.342,297.624
116,108585,1,-1,-1,-1,-1,-1,1769167,21,LAKE,LAKE,LAKE,-78.80137219,45.68192146,118,0.006527816,0,4.590704649,185.8249705,13405288.14,7.710214089,0.28132228,1,11.46,6.5,1760000,1,1,447.6716008,0.100000001,1.14674771,0.05717385,19225885.19,1,6,1,423.090271,421.2799683,0,,Timberwolf,,1411040.522,12137441.55,4.591,185.825,447.672
299,,-1,1,1,1,1,1,3584900,22,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.34040458,46.05833496,297,0.000803506,0,2.717971599,168.95693,4005347.941,3.605571328,0.178298924,2,1.57,3.7,420000,1,0,413.8961638,0.100000001,0.250774394,0.032168741,4005347.941,1,19,3,350.0661011,346.625061,0,0,,,1443753.771,12182878.31,2.718,168.957,413.896
887,,-1,1,1,1,1,1,17144167,23,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.6988067,45.99897035,888,0.001088906,0,5.417996971,173.6403971,18026176.15,91.43475553,1.240597927,1,5.67,6.4,880000,1,0,218.8115348,0.106172842,161.2714992,0.025488163,3165957427,4,181,2,156.0892334,152.8142548,0,0,,,1493756.19,12180765.61,5.418,173.64,218.812
126,108316,1,-1,-1,-1,-1,-1,1685925,24,LAKE,LAKE,LAKE,-78.92092217,45.8793379,125,0.001195315,0,2.858924004,192.8121304,6946336.357,4.707990993,0.209250084,2,7.67,4.6,1680000,1,0,423.0034964,0.112500003,0.427569043,0.025727095,6946336.357,2,68,1,420.4602661,384.7315369,0,0,,,1401167.616,12159239.33,2.859,192.812,423.003
415,1031109,1,-1,-1,-1,-1,-1,379310,25,LAKE,LAKE,LAKE,-78.6901224,46.11084137,414,0.003223973,0,5.640897682,176.3119621,9549388.146,5.492991047,0.229535361,2,1.86,4.9,380000,1,0,397.5849836,0.100000001,0.582039943,0.040859499,9549388.146,1,32,3,324.2901917,320.9590149,0,0,,,1417278.073,12185062.51,5.641,176.312,397.585
