True Cost 	Penalty 	Adjusted Cost
-6.407288E-01	0.000000E+00	-6.407288E-01
-1.081276E-01	0.000000E+00	-1.081276E-01
8.081245E-02	0.000000E+00	8.081245E-02
1.668305E-01	0.000000E+00	1.668305E-01
-1.381837E-01	0.000000E+00	-1.381837E-01
-3.694676E-01	0.000000E+00	-3.694676E-01
-6.880026E-02	0.000000E+00	-6.880026E-02
-6.364530E-01	0.000000E+00	-6.364530E-01
-5.977999E-01	0.000000E+00	-5.977999E-01
-4.646125E-01	0.000000E+00	-4.646125E-01
-5.399348E-01	0.000000E+00	-5.399348E-01
-8.698844E-01	0.000000E+00	-8.698844E-01
-3.799971E-01	0.000000E+00	-3.799971E-01
-7.887815E-01	0.000000E+00	-7.887815E-01
-8.127284E-01	0.000000E+00	-8.127284E-01
-8.253029E-01	0.000000E+00	-8.253029E-01
-7.132325E-01	0.000000E+00	-7.132325E-01
-9.678287E-01	0.000000E+00	-9.678287E-01
-8.537497E-01	0.000000E+00	-8.537497E-01
-8.977710E-01	0.000000E+00	-8.977710E-01
-9.461498E-01	0.000000E+00	-9.461498E-01
-7.095677E-01	0.000000E+00	-7.095677E-01
-1.036608E+00	0.000000E+00	-1.036608E+00
-8.204214E-01	0.000000E+00	-8.204214E-01
-1.003803E+00	0.000000E+00	-1.003803E+00
-9.865655E-01	0.000000E+00	-9.865655E-01
-1.010843E+00	0.000000E+00	-1.010843E+00
-1.001873E+00	0.000000E+00	-1.001873E+00
-8.951669E-01	0.000000E+00	-8.951669E-01
-5.552181E-01	0.000000E+00	-5.552181E-01
-1.067781E+00	0.000000E+00	-1.067781E+00
-9.473777E-01	0.000000E+00	-9.473777E-01
-9.598871E-01	0.000000E+00	-9.598871E-01
-9.458798E-01	0.000000E+00	-9.458798E-01
-8.161663E-01	0.000000E+00	-8.161663E-01
-1.048349E+00	0.000000E+00	-1.048349E+00
-1.167682E+00	0.000000E+00	-1.167682E+00
-1.176227E+00	0.000000E+00	-1.176227E+00
-8.634651E-01	0.000000E+00	-8.634651E-01
-9.464738E-01	0.000000E+00	-9.464738E-01
-9.160259E-01	0.000000E+00	-9.160259E-01
-6.949191E-01	0.000000E+00	-6.949191E-01
-1.182166E+00	0.000000E+00	-1.182166E+00
-8.140746E-01	0.000000E+00	-8.140746E-01
-1.135028E+00	0.000000E+00	-1.135028E+00
-1.151318E+00	0.000000E+00	-1.151318E+00
-1.272446E+00	0.000000E+00	-1.272446E+00
-1.063575E+00	0.000000E+00	-1.063575E+00
-1.106437E+00	0.000000E+00	-1.106437E+00
-7.238713E-01	0.000000E+00	-7.238713E-01
-5.928207E-01	0.000000E+00	-5.928207E-01
-1.048316E+00	0.000000E+00	-1.048316E+00
-1.292594E+00	0.000000E+00	-1.292594E+00
-1.349228E+00	0.000000E+00	-1.349228E+00
-4.696174E-01	0.000000E+00	-4.696174E-01
-1.331780E+00	0.000000E+00	-1.331780E+00
-1.288906E+00	0.000000E+00	-1.288906E+00
-1.353285E+00	0.000000E+00	-1.353285E+00
-1.888227E-02	0.000000E+00	-1.888227E-02
-1.376645E+00	0.000000E+00	-1.376645E+00
-1.411749E+00	0.000000E+00	-1.411749E+00
-7.451432E-01	0.000000E+00	-7.451432E-01
-9.018509E-01	0.000000E+00	-9.018509E-01
-1.435213E+00	0.000000E+00	-1.435213E+00
-1.443429E+00	0.000000E+00	-1.443429E+00
-1.439646E+00	0.000000E+00	-1.439646E+00
-5.582211E-01	0.000000E+00	-5.582211E-01
-1.422223E+00	0.000000E+00	-1.422223E+00
-2.683445E-01	0.000000E+00	-2.683445E-01
-1.410508E+00	0.000000E+00	-1.410508E+00
-1.272619E+00	0.000000E+00	-1.272619E+00
-1.414584E+00	0.000000E+00	-1.414584E+00
-1.409573E+00	0.000000E+00	-1.409573E+00
-8.917314E-01	0.000000E+00	-8.917314E-01
-7.828474E-01	0.000000E+00	-7.828474E-01
-1.189278E+00	0.000000E+00	-1.189278E+00
-1.367744E+00	0.000000E+00	-1.367744E+00
-1.385148E+00	0.000000E+00	-1.385148E+00
-1.357087E+00	0.000000E+00	-1.357087E+00
