Run   obj.function   %D_FF%        %D_AT%        %MLT_F_Add%   %MIN_MLT_F%   %Rfrez_F%     %WFPS%        %HydCond_FF%  %FC_FF%       %FC_AT%       %FC_BT%       %MAX_BASEFLOW_RATE_FF%  %MAX_BASEFLOW_RATE_AT%  %MAX_BASEFLOW_RATE_BT%  %BASEFLOW_N_FF%  %BASEFLOW_N_AT%  %BASEFLOW_N_BT%  %Rain_Snow_T%  %Rain_Snow_Delta%  %MAX_PERC_RATE_FF%  %MAX_PERC_RATE_AT%  %MAX_CAP_RISE_RATE%  %MAX_CAPACITY%  %MAX_SNOW_CAPACITY%  %RAIN_ICEPT_PCT%  %SNOW_ICEPT_PCT%  %LAKE_PET_CORR%  %PET_CORRECTION%  n_multi       w_a0          w_n0          w_Cedar       w_Big_Trout   w_Grand       w_Lavieille   w_Misty       w_Animoosh    w_Traverse    w_Burntroot   w_La_Muir     w_Narrowbag   w_Little_Cauchon  w_Hogan       w_North_Depot  w_Radiant     w_Loontail    
1     -6.407288E-01  1.059938E-01  8.163098E-01  5.242700E+00  2.350175E+00  7.801164E-01  2.318731E+01  8.321548E+02  4.182448E-01  4.400285E-01  8.744491E-01  6.071688E+02  9.964926E+02  4.611577E+02  8.748719E-01  1.272644E+00  4.010540E+00  1.979030E-01  2.341662E-01  9.392262E+02  2.654019E+02  8.993935E+02  1.371652E-01  3.356030E-01  2.821240E-02  1.881341E-02  1.282425E+00  7.197964E-01  1.264980E+00  6.318181E-01  7.665396E-01  6.161056E+01  4.290878E+01  7.452355E+00  9.472348E+01  2.876422E+01  4.179812E+01  2.187565E+01  4.981648E+01  2.135914E+01  6.003585E+01  5.016807E+01  3.652245E+01  6.500105E+01  8.381525E+01  1.077112E+01  
2     -1.081276E-01  6.518758E-02  1.555850E+00  5.001947E+00  1.576127E+00  1.937531E+00  1.495093E+00  2.161722E+02  1.828315E-01  2.496019E-01  7.939581E-01  7.661591E+02  1.458932E+02  3.713943E+01  2.985458E+00  3.388650E+00  3.211363E+00  -6.913648E-01  3.346584E+00  3.459055E+02  5.932220E+02  2.318229E+02  4.182556E+00  1.225363E+00  1.875031E-01  1.699593E-01  9.709814E-01  1.284597E+00  7.225081E+00  1.588547E-01  1.709163E-01  7.006017E+01  9.757699E+01  3.570709E+01  4.741645E+01  4.375862E+01  4.944846E+00  8.934545E+00  3.089744E+01  3.075163E+01  7.763804E+01  8.631114E+01  1.068410E+00  9.236245E+01  7.345311E+00  9.383688E+01  
3     8.081245E-02  3.431705E-02  7.996119E-02  5.239572E+00  2.826496E+00  3.832579E+00  1.496199E+01  1.739117E+02  5.143854E-01  4.760576E-01  9.895494E-01  5.490101E+02  6.533255E+02  5.914349E+02  3.551020E+00  6.011090E-01  4.231720E+00  -1.585115E+00  1.450017E+00  7.431626E+02  7.330212E+02  5.677311E+02  2.353874E+00  1.553180E+00  1.729900E-01  2.272876E-01  1.439401E+00  1.011727E+00  5.951667E+00  2.674586E-01  5.773856E-01  2.866913E+00  5.010391E+01  5.702100E+01  2.891771E+01  2.407162E+01  9.423654E+01  3.665065E+01  2.183588E+01  8.062872E+01  1.031909E+00  7.828830E+01  2.631745E+01  7.785217E+01  8.885836E+01  5.504433E+01  
4     1.668305E-01  1.500873E-01  1.652907E+00  3.280207E+00  1.813796E+00  2.926785E+00  1.709664E+01  7.669374E+02  3.099441E-01  6.301902E-01  7.511262E-01  6.313334E+02  2.398331E+02  8.254242E+02  1.140497E+00  1.408510E-01  4.687009E-01  -4.018332E-01  5.836397E-01  8.734201E+02  9.098801E+01  9.154448E+02  2.629790E+00  3.873447E+00  4.876786E-02  1.038735E-01  9.546421E-01  6.693678E-01  5.693804E+00  4.301629E-01  2.474330E-01  8.667225E+01  7.627957E+01  3.169429E+01  3.687542E+01  3.224298E+00  6.267525E+01  5.499687E+01  7.527114E+01  6.606436E+01  7.282144E+01  5.275761E+01  2.423780E+00  9.486793E+01  5.893906E+01  9.802711E+01  
5     -1.381837E-01  2.599580E-02  1.910061E+00  2.400328E+00  2.434770E+00  3.648813E-01  4.558510E+00  8.854013E+02  3.902927E-01  4.496414E-01  5.187120E-01  8.230772E+02  4.284356E+02  6.872809E+02  2.548984E-01  2.177795E+00  1.926230E+00  -1.016024E+00  2.539004E+00  1.817672E+02  6.106743E+01  9.602344E+02  4.545088E+00  4.299618E+00  1.500234E-01  6.057000E-02  1.292941E+00  1.460690E+00  3.205017E+00  3.211357E-01  4.268950E-01  7.500378E+01  6.801321E+01  5.985490E+01  5.979282E+00  1.209374E+01  8.052439E+01  4.579388E+01  4.580243E+01  8.970342E+01  7.218182E+01  9.192947E+01  2.282002E+01  3.766581E+01  7.454740E-01  5.938158E+01  
6     -3.694676E-01  1.261352E-01  1.046672E+00  4.065293E+00  2.364536E+00  7.494390E-02  2.689945E+01  7.561717E+02  3.927440E-01  5.201612E-01  8.459124E-01  4.191973E+02  9.658750E+02  4.473121E+02  1.640886E+00  2.292142E+00  4.658193E+00  2.115308E-02  1.003157E-01  7.184956E+02  1.353204E+02  9.979575E+02  9.319363E-01  1.047815E-01  1.805505E-02  2.306964E-02  1.260986E+00  8.186758E-01  1.780485E+00  5.770451E-01  4.159324E-01  7.477658E+01  5.090943E+01  4.918631E+01  7.807883E+01  4.815010E+01  7.846371E+01  3.489951E+01  6.653012E+01  5.008571E+01  6.904962E+01  3.400717E+01  3.193353E+01  9.348454E+01  9.756407E+01  4.928071E+01  
7     -6.880026E-02  8.310891E-02  1.374911E+00  5.169057E+00  1.836879E+00  1.171172E+00  2.489225E+01  9.629323E+02  4.933465E-01  3.498587E-01  9.236343E-01  6.430651E+02  9.657793E+02  4.611577E+02  6.396052E-01  7.008302E-01  4.557559E+00  3.122454E-01  1.282903E+00  9.765262E+02  2.654019E+02  8.111290E+02  1.564901E-01  2.193211E+00  2.487774E-02  1.908109E-01  1.361712E+00  8.065566E-01  8.968506E-01  7.461491E-01  5.806821E-01  5.586915E+01  1.553832E+00  2.500047E+01  9.365609E+01  4.142696E+01  4.179812E+01  1.969988E+00  7.514780E+01  4.019553E+01  5.691815E+01  8.132393E+01  1.946003E+01  5.989502E+01  7.554551E+01  1.747814E+01  
8     -6.364530E-01  4.095712E-02  9.737814E-01  3.364651E+00  2.350175E+00  2.346773E+00  1.728003E+01  8.284904E+02  3.247767E-01  4.642979E-01  7.955335E-01  7.187300E+02  9.839879E+02  5.891735E+02  9.765898E-01  2.000222E+00  4.315584E+00  1.979030E-01  1.064644E-01  9.662012E+02  4.775205E+02  8.993935E+02  4.691393E-01  3.356030E-01  2.403304E-02  7.473958E-02  1.243832E+00  1.216858E+00  4.377604E-01  3.955566E-01  6.001512E-01  5.673793E+01  4.910981E+01  2.843848E+00  9.209002E+01  5.419175E+01  6.614333E+01  6.889315E+00  3.650442E+01  1.019321E+00  3.852169E+01  5.120536E+01  5.724153E+01  6.119955E+01  5.138002E+01  2.266899E+00  
9     -5.977999E-01  1.342268E-01  9.392787E-01  5.037649E+00  1.689875E+00  9.914493E-01  2.232876E+01  9.426186E+02  5.459925E-01  4.400285E-01  8.583545E-01  6.071688E+02  7.237303E+02  4.611577E+02  1.645345E+00  1.272644E+00  4.010540E+00  1.979030E-01  2.028391E-01  9.392262E+02  3.139110E+02  9.369635E+02  1.371652E-01  4.547452E-01  4.705992E-02  8.283543E-02  1.492469E+00  6.764822E-01  3.315229E+00  7.986721E-01  5.990800E-01  6.161056E+01  5.365430E+01  5.278347E-01  9.472348E+01  2.264689E+01  5.793344E+01  3.977547E+01  4.108128E+01  8.526836E+00  4.736907E+01  5.882527E+01  2.071137E+01  8.001638E+01  7.370769E+01  1.539120E+01  
10    -4.646125E-01  1.197297E-01  6.964219E-01  4.172668E+00  2.350175E+00  7.801164E-01  2.444192E+01  9.741982E+02  4.182448E-01  4.244044E-01  9.199869E-01  3.997657E+02  7.747605E+02  5.511440E+02  2.336223E-01  3.808858E-01  3.462077E+00  -1.562744E-01  4.133659E-01  7.134572E+02  2.955344E+02  8.257236E+02  9.807687E-01  1.319832E+00  4.231364E-02  1.128181E-01  1.120465E+00  6.731991E-01  3.792387E+00  5.372973E-01  7.665396E-01  6.161056E+01  5.659185E+01  7.452355E+00  6.597205E+01  1.605608E+00  6.219168E+01  2.187565E+01  4.628815E+01  3.459412E+01  9.283301E+01  5.404193E+01  1.704677E+01  2.964331E+01  3.516801E+01  1.175413E+01  
11    -5.399348E-01  1.155048E-01  4.217715E-01  5.101443E+00  2.298080E+00  1.256948E+00  1.717280E+01  9.464719E+02  4.472370E-01  5.950281E-01  8.744491E-01  8.079691E+02  9.964926E+02  4.611577E+02  1.025370E+00  1.272644E+00  4.115438E+00  1.921589E+00  1.024519E+00  9.076984E+02  2.155995E+02  8.993935E+02  1.371652E-01  3.356030E-01  5.770847E-02  1.881341E-02  1.262838E+00  7.252854E-01  1.264980E+00  7.829767E-01  7.665396E-01  6.161056E+01  2.924149E+01  3.672497E+01  8.297419E+01  2.876422E+01  4.179812E+01  4.741068E+01  5.665151E+01  4.051378E+01  6.003585E+01  7.670236E+01  6.298142E+01  3.695069E+01  9.174946E+01  2.468631E+01  
12    -8.698844E-01  6.913442E-02  7.388840E-01  3.984858E+00  2.558827E+00  3.565160E-01  1.477909E+01  8.321548E+02  4.928883E-01  5.145887E-01  7.906471E-01  8.422381E+02  9.310311E+02  4.611577E+02  2.939526E-01  1.608144E+00  3.858745E+00  1.050764E+00  6.240022E-01  9.264398E+02  7.708328E+01  9.878692E+02  1.371652E-01  3.356030E-01  1.972926E-02  1.032893E-01  1.343397E+00  7.455549E-01  1.541327E+00  6.318181E-01  5.580144E-01  6.161056E+01  4.290878E+01  7.452355E+00  9.472348E+01  3.887650E+01  4.179812E+01  5.643735E+01  1.849450E+01  2.135914E+01  5.800952E+01  3.500226E+01  3.652245E+01  9.098307E+01  6.680672E+01  3.111296E+01  
13    -3.799971E-01  1.248876E-02  2.693455E-01  3.984858E+00  2.633139E+00  3.565160E-01  1.074389E+01  7.525417E+02  4.628261E-01  5.145887E-01  7.906471E-01  7.533568E+02  6.150632E+02  4.611577E+02  1.109048E+00  1.608144E+00  2.253625E+00  1.517602E+00  6.240022E-01  6.276783E+02  8.943033E+01  9.878692E+02  1.371652E-01  9.082088E-02  7.839529E-02  1.032893E-01  1.429792E+00  7.455549E-01  2.454231E-01  4.147536E-01  6.615577E-01  3.678967E+01  4.852498E+01  2.254803E+01  9.648194E+01  2.255349E+01  4.179812E+01  5.643735E+01  5.193132E+01  2.135914E+01  8.183867E+01  3.500226E+01  4.891516E+01  6.386381E+01  6.832320E+01  3.771549E+01  
14    -7.887815E-01  6.913442E-02  8.667013E-01  3.984858E+00  2.239697E+00  6.091126E-01  1.156304E+01  9.660238E+02  4.986312E-01  6.203470E-01  8.502962E-01  7.586037E+02  9.310311E+02  4.611577E+02  7.436168E-01  1.693872E+00  4.227360E+00  1.595897E+00  8.621665E-01  7.668250E+02  5.999085E+01  7.850687E+02  1.371652E-01  3.356030E-01  1.455898E-02  8.578868E-02  1.344218E+00  7.455549E-01  3.815515E+00  6.318181E-01  5.580144E-01  7.277463E+01  3.271070E+01  6.434772E+00  6.966918E+01  3.887650E+01  3.876954E+01  2.802228E+01  1.328334E+01  2.991258E+01  9.175466E+01  3.500226E+01  5.555629E+01  6.883587E+01  4.409548E+01  2.394213E+01  
15    -8.127284E-01  6.913442E-02  4.867825E-01  5.840494E+00  2.842607E+00  3.565160E-01  7.592874E+00  8.664977E+02  4.928883E-01  5.166162E-01  7.562497E-01  9.949789E+02  7.114640E+02  4.611577E+02  2.939526E-01  1.608144E+00  4.971473E+00  1.421786E+00  2.831051E-01  9.228435E+02  1.150415E+02  9.878692E+02  3.246097E+00  1.869520E-01  6.385112E-02  1.329270E-01  1.250834E+00  8.798865E-01  6.572080E+00  6.318181E-01  7.197675E-01  9.114717E+01  3.437044E+01  1.183903E+01  9.472348E+01  2.030851E+01  4.179812E+01  4.900559E+01  2.378560E+01  2.135914E+01  5.800952E+01  3.500226E+01  3.652245E+01  9.098307E+01  5.938424E+01  3.047955E+01  
16    -8.253029E-01  3.619611E-02  5.110149E-01  5.176833E+00  2.558827E+00  3.565160E-01  1.477909E+01  8.402660E+02  5.027314E-01  5.820992E-01  9.698963E-01  9.379460E+02  5.704040E+02  4.611577E+02  2.110529E-01  1.608144E+00  3.858745E+00  1.050764E+00  4.730528E-01  9.736933E+02  7.708328E+01  6.716668E+02  1.371652E-01  3.356030E-01  5.238779E-02  1.029728E-01  1.275160E+00  6.148328E-01  3.244408E+00  6.318181E-01  5.580144E-01  6.161056E+01  5.070644E+01  1.433071E+01  6.572060E+01  3.887650E+01  3.440025E+01  6.574185E+01  1.849450E+01  2.135914E+01  6.327891E+01  7.957056E+00  3.020250E+01  8.454808E+01  8.733573E+01  3.111296E+01  
